id,user,standard_answer
qa_018,How do I log in to MT4/MT5 on an iPhone device?,Please follow these steps to log in on iPhone: Open your MT4 Click on 'Settings' Click on 'New Account' Click on 'Login to an existing account' Type in hfmarkets and choose the server Type in your trading account number and trader's password Click on 'Sign in' Please follow these steps to log in or open your MT5: Click on 'Settings' Click on 'New Account' Click on 'Login to an existing account' Type in hfmarkets and select Broker name Type in your trading account number and trader's password Select server Click on 'Sign in'
qa_019,How do I log in to MT4/MT5 on an Android device?,Please follow these steps to log in on an Android device: Open your MT4 Click on the 3 lines menu on the top left corner of the screen Click on 'Manage Accounts' Click on the + sign in the top right corner of the screen Click on 'Login to an existing account' Type in hfmarkets and choose the server Type in your trading account number and trader's password Click on 'Sign in'
qa_020,How do I login to MT4/MT5 Platform for PC/ Webterminal,Web Terminal /PC Open your MT4 / MT5 Click on 'File' on the top menu Click on the 'Login' in your 'Trade Account' Type in your trading account number Type in the trader's password you created Choose the server Click on 'Login'
qa_021,Do I have to provide any documents to HFM to open an account?,"For Live accounts, we need at least two documents to accept you as an individual client: Proof of Identification - current (not expired) coloured scanned copy (in PDF or JPG format) of your passport. If no valid passport is available, please upload a similar identification document bearing your photo, such as a National ID card or a Driving licence. Proof of Address - a Bank Statement or Utility Bill. Please ensure, however, that documents provided are not older than 6 months and that your name and physical address are clearly displayed. Important Note: The name on the Proof of Identification document must match the name on the Proof of Address document. You can conveniently upload your documents directly from your myHF area; alternatively, you can also scan them and send them to backoffice@hfm.com Your documents will be checked by the verification department within 48 hours. Kindly note, any deposits will be credited to the account only after your documents have been approved and your myHF area is fully activated."
qa_022,What is the difference between a myHF account and a trading account?,"Your myHF account is your wallet, which is automatically created when you register with HFM. It can be used to make deposits, withdrawals and internal transfers to and from your trading accounts. Through your myHF area, you can also create your live trading accounts and demo accounts. Note: You can log in to your myHF account only from the website or using the HFM App. A trading account is a Live or Demo account you create through your myHF area in order to trade any asset available. Note: You can log in to y"
qa_508,I need to talk to a live agent,We will connect you with one of our live agents to assist you
qa_509,356353508,Quick reply
qa_510,random numbers 123456,Quick reply
qa_511,unclear input,Quick reply
qa_512,gibberish text xyz,Quick reply
qa_513,???,"Quick replyour Live / Demo trading account only on the platform or the WebTerminal."""
qa_023,I want to close my HFM account,"If you wish to close your HFM account, please ensure you have first withdrawn all remaining funds. Once there are no funds left in your HFM account, you can send us an email from your registered email address, confirming you wish to close your HFM account, and including the reason behind your decision for feedback purposes. You can find our email address on our website Contact Us section."
qa_024,I want to change my legal name,"If your name/surname has changed, please send an email from your registered email address to backoffice@hfm.com confirming your new full name and surname, and attaching a valid Proof of Legal Existence (PLE) document confirming the same, as well as a legal document confirming the change (e.g. If your surname changed due to marriage, please provide the marriage certificate)."
qa_025,I want to change my residential address,"If you wish to change your registered residential address, please send an email from your registered email address to backoffice@hfm.com confirming your new full residential address and attaching a valid Proof of Address (POA) document confirming the same. Suitable Proof of Address documents include a recent bank statement or utility bill (energy bill, water bill, telephone bill, gas bill) or any other governmental document that is in your name and is no more than 6 months old. Please note that all four corners should be visible."
qa_026,I want to open a live trading account or a demo account,"To create a trading account, please log into your myHF area; on the left menu under Trading Accounts > Open Live Account or Open Demo account. In case you are using the HFM App, please log in to your myHF account, select Menu > My Wallet > Live / Demo Accounts TAB > Open Trading Account. Keep in mind that you will be required to create your own Trading Account Password."
qa_027,I want to add/remove funds from my Demo trading account,"You can top up or remove funds to/from your demo account anytime you wish, directly from your myHF area by following the steps below: Log in to your myHF area Under your 'My Trading Accounts', click on 'View All' Click on the 'Demo Accounts' tab Select 'Add or Remove funds' and proceed with the adjustment you wish to make"
qa_028,I want to see my Finances,"To see all your finances, please follow the steps below: Log in to your myHF area On the left-hand side, select My Wallet> Wallet Actions >Wallet Finances Select the tab you wish to view: Deposit/ Withdrawals"
qa_029,I want to transfer funds to my trading account/to my wallet,"In order to transfer funds, please log into your myHF area, select 'Transfer funds' on the left-hand menu. You will then be able to select the account from which you wish to transfer and the receiving account. Enter the amount and then click on Transfer Funds. In case you are using the HFM APP, please log in to your myHF account, please select MENU on the bottom left side of the screen, tap on My Wallet and select Transfer funds. You will then be able to select the account from which you wish to transfer and the receiving account. Enter the amount and then click on Continue."
qa_030,I want to deposit funds,"Please log in to your myHF area, on the left-hand side menu, click on deposit, select your preferred method and follow the instructions on the screen. In case you are using the HFM APP, you will need to tap on Menu and then Deposit at the bottom of the screen and select any of the available methods. You will be able to deposit into your myWallet or directly to an active Trading Account."
qa_031,I want to change my myHF account password,"To change your myHF area password, please log into your myHF area, under Funding on the left-hand menu, click on myWallet > Wallet Actions > Change Password. You will then need to enter your old password, the new password and repeat your new password and select 'Change Password' to confirm the change."
qa_032,I want to change my registered email address,"Kindly be informed that the request to change your email address must be sent from the email address registered with your HFM account and should include the new email address you wish to update your account with. If you no longer have access to your registered email address, we kindly ask you to send your request via email to the email address found on the Contact Us section of our website, from your new email address. Please include the following as part of the verification process: A front and Back copy of your registered ID document. A clear photo of yourself holding your registered ID document. (Ensure that both your face and the ID document are fully visible in the picture.) Confirm your old email address. This will help us verify your identity and update our records accordingly."
qa_033,I want to change the base currency of my myHF account/ Live account.,"If you have not yet funded your HFM account/Live trading account, please send us an email to the email address found on the Contact Us section of our website, from your registered email address with your request, specifying the base currency you wish to have on your account, and kindly confirm the account number. Please do not make any deposits until you have received confirmation that the change has been made successfully. If you have already funded your account, unfortunately, it is not possible to change the base currency."
qa_034,I want to reset/change my Traders password,"How to Change Your Trader's Password For Desktop: Access your myHF area from your PC or Laptop. Navigate to My Trading Accounts: In the Home tab, locate the 'My Trading Accounts' section. Select the Account: Find the Live or Demo account for which you want to change the password. Under the 'ACTIONS' tab, click the cog wheel symbol. Change Password: Choose 'Change Password' from the options. Set New Password: Enter a new password that meets all security criteria, then click 'Continue'. Verify with OTP: You will receive a two-factor authentication (2FA) one-time password (OTP) via your registered email. Enter this OTP in the provided field and click 'Confirm'. For HFM App: Open the HFM App and log in to your myHF area. Access My Wallet: Tap on the Menu and select 'My Wallet'. Select Account: Choose either the 'Live Accounts' or 'Demo Accounts' tab, then tap on the trading account for which you want to change the password. Change Password: Tap the three vertical dots next to the 'Trade' button and select 'Change Password'. Set New Password: Enter a new password that meets all security criteria, then tap 'Continue'. Verify with OTP: You will receive a two-factor authentication (2FA) one-time password (OTP) via your registered email. Enter this OTP in the provided field and click 'Confirm'."
qa_035,I cannot fund my account/I receive an 'Unsuccessful deposit' error message,"If you are trying to make a deposit and receive the error message Unsuccessful deposit, please contact your bank for clarification. If you still require assistance regarding your deposit, please email our Deposit Department at deposit@hfm.com"
qa_036,How can I withdraw money?,"You can withdraw at any time from the funds that are surplus to any margin requirement. To request a withdrawal, simply log in to your myHF area (your Client Area) and select 'Withdraw'. All submitted withdrawals are processed within 24 hours. All available withdrawal options can be found on our website by navigating to Trading > Pricing > Withdrawal Options"
qa_037,Can you help me check why is my phone number link to another account?,"Please send an email from your registered email address to the contact email provided on our page here: https://www.hfm.com/int/en/contact-us In your email, confirm your new telephone number (including the country code) and provide your date of birth for verification purposes. This will allow us to verify your identity and assist you with updating or resolving the phone number issue linked to your account.Please note that all registered phone numbers must be unique, meaning, the same phone number cannot be used for 2 different wallets. To update your phone number, please email us the following: Your new telephone number, complete with the country code. Your date of birth for verification purposes."
qa_038,Why can't I login and register a real account?,"If you are unable to log in or register a real (live) trading account on HFM, here are some common reasons and solutions: Account Creation Process: You need to create your live trading account through your myHF area. Log in to myHF, then select Open Live Account under the Trading Accounts menu. Make sure to complete all required steps, including setting your trading account password. Verification Requirements: Live accounts require identity verification. Ensure you have submitted valid documents such as Proof of Identification and Proof of Address. Without verification, access to your live account may be restricted. Login Details: When logging in to your live trading account on MT4 or MT5, use your trading account number and the trader's password you created. Also, select the correct server (hfmarkets) during login. Technical Issues: Try clearing your browser cache, using a different device, or updating the HFM App. Also, ensure you are logging in through the correct platforms: myHF area for account management and MT4/MT5 platforms or WebTerminal for trading accounts. If you continue to experience issues, please contact our support team for further assistance: https://www.hfm.com/int/en/contact-us"
qa_039,What documents are required for verification?,"For identity verification on HFM, you need to provide the following documents: Proof of Identification: A current (not expired) colored scanned copy of your passport. If you don't have a valid passport, you can submit a similar photo ID such as a National ID card or Driving Licence.Proof of Address: A recent Bank Statement or Utility Bill (energy, water, telephone, gas bill) that is no older than 6 months. The document must clearly show your name and physical address. Important: The name on your Proof of Identification must exactly match the name on your Proof of Address. You can upload these documents directly in your myHF area or send them via email to backoffice@hfm.com. Verification usually takes up to 48 hours."
qa_040,Why can't I register?,"If you can't register a real trading account on HFM, it may be due to the following reasons: You need to create your live trading account through your myHF area by logging in and selecting Open Live Account under the Trading Accounts menu. Make sure to complete all required steps, including setting your trading account password. Live accounts require identity verification. You must submit valid documents such as Proof of Identification (passport, National ID, or Driving Licence) and Proof of Address (a recent bank statement or utility bill not older than 6 months). The names on both documents must match exactly. Without completing verification, access to your live account may be restricted. When logging in to your live trading account on MT4 or MT5, use your trading account number and the trader's password you created, and select the correct server (hfmarkets). Technical issues like browser cache, device compatibility, or app version might also affect registration. Try clearing cache, using a different device, or updating the HFM App. If the problem continues, please contact our support team for assistance: https://www.hfm.com/int/en/contact-us"
qa_041,I want to change my telephone number.,"Please send an email from your registered email address with your request to the email mentioned on our page here https://www.hfm.com/int/en/contact-us, confirming your new telephone number (including the country code) and your date of birth for verification purposes."
qa_042,Hello. I got verification code to my email. It says incorrect code. What's the problem?,"If the verification code you received via email says it is incorrect, please consider the following: Make sure you enter the code exactly as it appears, including any uppercase or lowercase letters. Check if the code has expired; verification codes often have a limited validity period. Ensure you are using the most recent code sent, as previous codes become invalid once a new one is generated. Try requesting a new verification code and use that one promptly. Verify that you are entering the code in the correct field and for the correct account or action. If the problem persists, please contact our support team for further assistance."
qa_043,Actually i entered a wrong date of birth i need to change it how can i?,"To change your date of birth after entering it incorrectly during verification, please send an email from your registered email address to the contact email provided on the HFM contact page: https://www.hfm.com/int/en/contact-us. In your email, clearly state the correct date of birth and include any necessary verification details to help confirm your identity. This will allow the team to update your information accordingly."
qa_044,Why can't I transfer from my wallet to my account?,"If you are unable to transfer funds from your wallet to your trading account on HFM, please check the following:Log in to your myHF area either on the website or through the HFM App. Choose the account you want to transfer from (your wallet) and the receiving trading account. Enter the amount and confirm the transfer. If you are following these steps and still cannot transfer, it might be due to: Account restrictions or verification issues — ensure your account is fully verified. Technical issues — try logging out and back in, clearing your browser cache, or using the HFM App. Insufficient funds in your wallet. If the problem persists, please contact our support team for assistance."
qa_045,How to open corporate account?,"To register a corporate account please click here > select Corporate, and enter the relevant details."
qa_046,I want to close my HFM account.,"If you wish to close your HFM account, please ensure you have first withdrawn all remaining funds. Once there are no funds left in your HFM account, you can send an email to us from the email provided on our page here https://www.hfm.com/int/en/contact-us, from your registered email address, confirming you wish to close your HFM account, and including the reason behind your decision for feedback purposes."
qa_047,I registered using Gmail but why can't I log in?,"If you registered using your Gmail but cannot log in, please check the following: Ensure you are logging in through the correct platform: use the myHF area on the website or the HFM App for account management. For trading accounts, log in on MT4 or MT5 platforms using your trading account number and trader's password, selecting the correct server (hfmarkets). Confirm that your account verification is complete by submitting all required documents (Proof of Identification and Proof of Address). If you registered but did not complete verification, access may be restricted. Try clearing your browser cache, using a different device, or updating the HFM App. Make sure you are using the correct email and password associated with your HFM account. If you still cannot log in, please contact our support team for assistance: https://www.hfm.com/int/en/contact-us"
qa_048,Which is my account number?,"You can find your HFM trading account number by logging into your myHF area either on the website or through the HFM App. Once logged in: Go to the My Trading Accounts section. Here, you will see a list of your Live and Demo trading accounts along with their account numbers. This number is what you use to log in to your trading platform (MT4, MT5, or WebTerminal). If you have multiple accounts, each will have its own unique account number displayed in this section."
qa_049,Can I change my base currency?,"If you haven't funded your HFM trading account, request a base currency change by emailing from your registered address, specifying the desired currency and your account number. Wait for confirmation before making deposits. If your account is funded, you cannot change the base currency; you'll need to open a new account with your desired currency as the base currency."
qa_050,Why does it keep saying my phone number's invalid?,"If the system says your phone number is invalid when you try to update it, please ensure that: You include the full phone number with the correct country code. The number format matches international standards (e.g., +1234567890). You are sending the update request from your registered email address. To update your phone number, you need to send an email from your registered email address to the contact email on the HFM contact page: https://www.hfm.com/int/en/contact-us. Include your new phone number with the country code and your date of birth for verification. This process helps avoid errors and ensures your number is updated correctly. Please provide a screenshot of the error you receive, and contact one of our Live Agents."
qa_051,Hello can please check my withdrawal process?,"I'm unable to check the status directly. However, you can review the status of any of your withdrawals by logging into your myHF area: Go to My Wallet > Wallet Actions > Wallet Finances. Select the Withdrawals tab to see all your withdrawal requests and their status. For withdrawal assistance, you can contact deposit@hfm.com or connect to a Live Agent. If you need to cancel a withdrawal, please ask to connect to a Live Agent."
qa_052,Any updates on my withdrawal?,"You can check the status of your withdrawal request by logging into your myHF area: Go to My Wallet > Wallet Actions > Wallet Finances. Select the Withdrawals tab to view all your withdrawal requests and their current status. For withdrawal assistance, you can contact deposit@hfm.com or connect to a Live Agent. If you wish to cancel a withdrawal, please ask to connect to a Live Agent."
qa_053,I'm not allowed to withdraw the money from my account?,"If you can't withdraw from your HFM account, check these: Available Funds: Only withdraw funds not tied to open trades or margin. Verification: Ensure your account is fully verified, in order to proceed. Method: Withdrawals can only be made from your wallet, not from the trading account. Account Type: Withdrawals are only from live accounts. Still stuck? Ask to speak to one of our Live Agents."
qa_054,Can i withdraw with crypto?,"Please log in to your myHF area, select 'Withdraw', and choose the available withdrawal options."
qa_055,Please why is my withdrawal pending?,"If you want to check the status or details of your withdrawals, please log in to your myHF area, go to My Wallet > Wallet Actions > Wallet Finances, and select the Withdrawals tab. For further inquiries, please ask to connect to a Live Agent."
qa_057,"Hi, I want to ask if I make a deposit using a bank card, but when I want to withdraw, can I use online banking?","Funds are withdrawn to the same card used for deposits during the last 6 months. Therefore, if you made a deposit using a bank card, you will need to withdraw funds back to that same card. Withdrawals to online banking or other methods are not available if the deposit was made by card. If you have any issues or need further assistance, feel free to connect with a Live Agent. As per our Company procedure, we must follow a back to source withdrawal priority procedure, meaning all deposits made via card must be returned (in the same amount) back to the same card. Once those are cleared, you may be able to use online banking methods, upon availability."
qa_058,Is it possible to use different deposit and withdrawal methods?,"Withdrawals are processed to the same card used for deposits within the last 6 months. This means you need to use the same method for withdrawals as you did for deposits during that period. If you have any further questions or need assistance, feel free to ask! As part of our ongoing anti-money laundering procedures, it is mandatory to withdraw via the same method you deposited. If you have any further questions or need assistance, feel free to ask!"
qa_059,How do I withdraw from a trading account to a bank account?,"To withdraw funds from your trading account to a bank account, please follow these steps:Log in to your myHF area (Client Area). Select the Withdraw option. Choose your preferred withdrawal method, such as a bank transfer.Enter the amount you wish to withdraw.Submit your withdrawal request. All withdrawal requests are processed within 24 hours. Important: If you are withdrawing to a card that has been cancelled, you will need to provide an official confirmation letter from your bank stating the card cancellation before submitting the withdrawal request. If you have already submitted a withdrawal to a cancelled card, please contact our Live Agent immediately. For more details on withdrawal options, you can visit: Withdrawal Options. If you are facing any issues during the process, please contact a Live Agent."
qa_060,What happens if more than 6 months past from my deposit?,"If more than 6 months have passed since your deposit, withdrawals must still be made to the same card used for deposits during that period. If the card has been cancelled, you will need to provide an official confirmation letter from your bank stating the card cancellation before submitting a withdrawal request. If you have already submitted a withdrawal request to a cancelled card, please contact our Team via Live Agent for assistance."
qa_061,Can I withdrawal only from online banking while I deposit also with card?,"You can only withdraw funds to the same card used for deposits within the last 6 months. Withdrawals are processed to the original deposit method, so if you deposited using a card, the withdrawal will be made to that card.If you want to withdraw via online banking or another method, it must match the deposit method used in the last 6 months. For more details on withdrawal options and processing times, you can visit: Withdrawal Options. As part of our ongoing anti-money laundering procedures, it is mandatory to withdraw via the same method you deposited, in the order of deposits.If you have any further questions or need assistance, feel free to ask!"
qa_062,What is the minimum withdrawal for a cent account?,Please note that we do not have a minimum withdrawal limit for transfers from trading accounts. Keep in mind that the amount depends on whether there are open trades at the time of transfer.
qa_063,What are the t&c for 100% deposit bonus?,You can visit our website and select the **Promotions** tab to view all currently available promotions and their related terms and conditions.
qa_064,100% bonus?,"For currently available bonuses you can check our Website in the **Promotions** tab, or by logging in to your myHF area."
qa_065,"Bro, does HFM have a deposit bonus?","For currently available bonuses you can check our **Promotions** tab on our website , or by logging in to your **myHF** area."
qa_066,Good day I just want to find out if you can check if I can still use 100%bonus account?,"Thank you for reaching out! Unfortunately , I don't have access to your personal account details to check the status of your 100% bonus account. To find out if you can still use the 100% bonus, please log in to your myHF area or contact our support team directly via the contact page here: HFM | Contact us. They will be able to assist you with your specific account and bonus status. If you need help with anything else, feel free to ask! For currently available bonuses you can check our Promotions page @https://www.hfm.com/int/en/promotions , or by logging in to your myHF area."
qa_067,How do I log in to my trading account?,"You will need to use the login details you have received on your registered email address after creating a Live or Demo trading account. You will need to enter: Trading Account number, Trader's password, Server. Note: We kindly inform you that you can use the server IP address should the required server not be available. You will need to copy the Server IP address manually and paste it in the Server field. The relevant IP addresses can be found @https://www.hfm.com/int/en/platforms/mt4-how-to-connect and @https://www.hfm.com/int/en/platforms/mt4-how-to-connect"
qa_068,What is the difference between a myHF account and a trading account?,"Your myHF account is your wallet, which is automatically created when you register with HFM. It can be used to make deposits, withdrawals and internal transfers to and from your trading accounts. Through your myHF area, you can also create your live trading accounts and demo accounts. Note: You can log in to your myHF account only from the website or using the HFM App. A trading account is a Live or Demo account you create through your myHF area in order to trade any asset available. Note: You can log in to your Live / Demo trading account only on the platform or the WebTerminal."
qa_069,I want to open a live trading account or a demo account.,"To create a trading account, please log into your myHF area; on the left menu under Trading Accounts > Open Live Account or Open Demo account. In case you are using the HFM App, please log in to your myHF account, select Menu > My Wallet > Live / Demo Accounts TAB > Open Trading Account. Keep in mind that you will be required to create your own Trading Account Password."
qa_071,What leverage is applied to my account?,"Leverage available for HFM trading accounts is up to 1:2000, depending on the account type. For further details, please go to our Account Types page on our website."
qa_072,What is the minimum funding requirement to open an account?,The minimum initial deposit depends on the account type selected. Please click here @https://www.hfm.com/int/en/trading-accounts to view all our accounts and the minimum initial deposit for each.
qa_073,I want to deposit funds.,"Please log in to your myHF area, on the left-hand side menu, click on deposit, select your preferred method and follow the instructions on the screen. In case you are using the HFM APP, you will need to tap on Menu and then Deposit at the bottom of the screen and select any of the available methods. You will be able to deposit into your myWallet or directly to an active Trading Account."
qa_075,What is the spread?,"The spread is the difference between the bid and offer. To see our Forex typical spreads, click here @https://www.hfm.com/int/en/trading-instruments/forex"
qa_076,What are the minimum trading volumes?,"The minimum trading volumes will depend on the account opened. However, the minimum trade size we accept is 1 micro lot (0.01 lots). Minimum volume for US Oil, UK Oil and Indices is 0.10 lot."
qa_077,What are the additional fees?,There are no additional Fees.
qa_078,Where do you get your prices from?,"HFM clients have the ability to execute trades directly from real time streaming quotes, provided by the largest liquidity providers in the Forex market. Quotes are updated in real time."
qa_079,Is HFM regulated?,"HFM is a unified brand name of the HF Markets Group which encompasses the following entities: HF Markets (SV) Ltd incorporated in St. Vincent & the Grenadine as an International Business Company with the registration number 22747 IBC 2015. HF Markets (Europe) Ltd a Cypriot Investment Firm (CIF) under number HE 277582. Regulated by the Cyprus Securities and Exchange Commission (CySEC) under license number 183/12. HF Markets (Seychelles) Ltd is regulated by the Seychelles Financial Services Authority (FSA) with Securities Dealer's License number SD015. HF Markets SA (PTY) Ltd is an authorised Financial Service Provider from the Financial Sector Conduct Authority (FSCA) in South Africa, with authorisation number 46632. HFM Investments Ltd is authorized by the Capital Markets Authority in the Republic of Kenya as a non-dealing online foreign exchange broker with licence no. 155. HF Markets (DIFC) Ltd is authorised and regulated by the Dubai Financial Services Authority (DFSA) under license number F004885. HF Markets (UK) Ltd is authorised and regulated by the Financial Conduct Authority (FCA) under firm reference number 801701."
qa_080,When does the market open?,"A true 24-hour market, Forex trading begins each day in Sydney, and moves around the globe as the business day begins in each financial center, first to Tokyo, then London, and New York. Unlike any other financial market, investors can respond to currency fluctuations caused by economic, social and political events at the time they occur - day or night. The market is open 24/5."
qa_081,What does it mean to be long or short a position?,"If you are buying currency, you are opening a 'long' position, if selling - 'short'. For example, if you buy 1 lot of EUR/USD, it means you open a long position for 100000 of EUR against USD. And if you sell 10 lots of USD/CAD that means you open short position for 1 milion of USD versus CAD."
qa_082,What if I'm experiencing problems with trading or would like to place an order over the phone or via the live chat feature?,"If you're experiencing problems with your trades, or would like to edit an order over the telephone, please contact our execution team @https://www.hfm.com/int/en/contact-us via phone. Please note that our trade execution team will only be able to edit or close existing trades only."
qa_083,I still have more questions.,"Please go to hfm.com/int/ and select 'Live Support'. One of our dedicated Support Agents will be able to answer any questions you may have. We offer 24/5 live support to all our clients. Alternatively, simply send an email to support@hfm.com."
qa_084,I want to change the base currency of my myHF account/ Live account.,"If you have not yet funded your HFM account/Live trading account, please send an email from your registered email address with your request based on the email address provided via our page here https://www.hfm.com/int/en/contact-us, specifying the base currency you wish to have on your account, and kindly confirm the account number. Please do not make any deposits until you have received confirmation that the change has been made successfully. If you have already funded your account, unfortunately, it is not possible to change the base currency."
qa_088,Do you offer Dynamic Leverage?,"Please be informed that based on our RISKS ASSOCIATED WITH TRANSACTIONS IN DERIVATIVE FINANCIAL INSTRUMENTS (CFDS) policy, the maximum leverage for a trading account shall be automatically adjusted without any prior notice to the Client by taking into consideration the trading account's equity (i.e. Balance + Floating Profit & Loss + Swap + Commission) based on the below: Trading Account's Equity (USD) Maximum Leverage: 0.00-4999.99 = 1:2000, 5000.00-39999.99 = 1:1000, 40000.00-99999.99 = 1:500, 100000.00 or more = 1:200. Cent Accounts (Excluding Copy Cent): 0.00-499.99 = 1:2000, 500.00-999.99 = 1:1000, 1000-1499.99 = 1:500, 1500.00 or more = 1:200"
qa_090,I cannot create an additional trading account as I have reached the limit.,"If you have reached the maximum limits of 7 Live MT4/ 5 Live MT5 trading accounts, kindly archive one (or more) of your existing accounts to be able to open a new one."
qa_095,"HFM Mission, Values, HFM Markets Group & Trading Markets","HFM's Mission: Our mission is to provide the best customer service to our clients by maintaining a superb client-centric culture. HFM aims to lead the way through the use of cutting-edge technology, innovative system solutions and unrivalled customer service."
qa_096,How do I log in to MT4/MT5 on an iPhone device?,"Please follow these steps to log in on iPhone: Open your MT4, Click on Settings, Click on New Account, Click on Login to an existing account, Type in hfmarkets and choose the server, Type in your trading account number and trader's password, Click on Sign in. For MT5: Click on Settings, Click on New Account, Click on Login to an existing account, Type in hfmarkets and select Broker name, Type in your trading account number and trader's password, Select server, Click on Sign in"
qa_097,How do I log in to MT4/MT5 on an Android device?,"Please follow these steps to log in on an Android device: Open your MT4, Click on the 3 lines menu on the top left corner of the screen, Click on Manage Accounts, Click on the + sign in the top right corner of the screen, Click on Login to an existing account, Type in hfmarkets and choose the server, Type in your trading account number and trader's password, Click on Sign in"
qa_098,How do I login to MT4/MT5 Platform for PC/Webterminal,"Web Terminal /PC: Open your MT4 / MT5, Click on File on the top menu, Click on the Login in your Trade Account, Type in your trading account number, Type in the trader's password you created, Choose the server, Click on Login"
qa_099,I want to change my legal name.,"If your name/surname has changed, please send an email from your registered email address to backoffice@hfm.com confirming your new full name and surname, and attaching a valid Proof of Legal Existence (PLE) document confirming the same, as well as a legal document confirming the change (e.g. If your surname changed due to marriage, please provide the marriage certificate)."
qa_100,I want to change my residential address.,"If you wish to change your registered residential address, please send an email from your registered email address to backoffice@hfm.com confirming your new full residential address and attaching a valid Proof of Address (POA) document confirming the same. Suitable Proof of Address documents include a recent bank statement or utility bill or any other governmental document that is in your name and is no more than 6 months old. Please note that all four corners should be visible."
qa_101,I want to add/remove funds from my Demo trading account.,"You can top up or remove funds to/from your demo account anytime you wish, directly from your myHF area by following the steps below:"
qa_102,I want to see my Finances.,"To see all your finances, please follow the steps below:"
